ClosingStrategy,ObservationTableCEXHandler,SUL name,Seed,Cache,EquivalenceOracle,Method,Iter,HypSize,CESize,Info
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,6,22,7,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,7,27,5,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,8,29,6,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,9,30,10,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,10,31,9,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,11,34,11,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,12,36,12,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,13,37,6,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,14,38,0,u0S7
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,1,9,3,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,2,10,5,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,3,11,5,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,4,13,6,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,5,19,6,Y1KX
